"scientific_name","status","migration","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","logMass","logRange","Order","source"
"Aceros_waldeni","CR","Not a Migrant","Diurnal","Herbivore","Forest","Not colonial",-1.261632066,89.2898698,30.06556128,54,11.152742,2.87977916852124,4.04586485626963,"BUCEROTIFORMES",0
"Achaetops_pycnopygius","LC","Not a Migrant","Diurnal","Carnivore","Bare","Not colonial",0.043179139,837.8135027,28.42869211,46,14.880245,1.45178642386126,5.79807631850432,"PASSERIFORMES",5
"Acridotheres_albocinctus","LC","Not a Migrant","Diurnal","Omnivore","Open vegetation","Colonial",-0.368518149,120.109434,32.27840707,46,1.957131,1.92101574060953,4.99500978495093,"PASSERIFORMES",3
"Acridotheres_cinereus","LC","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",-0.278151187,0,25.95355228,44,1.991661,1.80786264285268,4.30245977315722,"PASSERIFORMES",0
"Acridotheres_cristatellus","LC","Not a Migrant","Diurnal","Omnivore","Artificial","Colonial",-0.026025972,0,32.36602026,44,1.821817,2.06632592536204,6.48756577344974,"PASSERIFORMES",1
"Acridotheres_fuscus","LC","Not a Migrant","Diurnal","Omnivore","Forest","Colonial",-0.098916754,0,25.38486794,62,1.991661,1.91803033678488,6.3822085264608,"PASSERIFORMES",1
"Acridotheres_ginginianus","LC","Not a Migrant","Diurnal","Omnivore","Artificial","Colonial",-0.254761574,0,30.25595502,64,2.997829,1.85733249643127,6.18331207528413,"PASSERIFORMES",0
"Acridotheres_grandis","LC","Not a Migrant","Diurnal","Carnivore","Open vegetation","Not colonial",-0.068977456,0,32.95818166,46,1.821817,1.99563519459755,6.23226629217148,"PASSERIFORMES",0
"Acridotheres_tristis","LC","Not a Migrant","Diurnal","Omnivore","Artificial","Not colonial",-0.015705093,0,27.83334883,48.5,2.997829,2.066698550423,6.8570283206023,"PASSERIFORMES",2
"Acrobatornis_fonsecai","VU","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",-0.254519398,189.4104914,24.10154049,34,5.196025,1.13672056715641,3.35583821630233,"PASSERIFORMES",1
"Acrocephalus_aedon","LC","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.025322661,0,19.75314412,26.5,9.683219,1.35024801833416,6.84013277267075,"PASSERIFORMES",1
"Acrocephalus_aequinoctialis","EN","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",1.123591457,1857.936417,25.39867816,25,1.947724,1.39794000867204,2.6633557700114,"PASSERIFORMES",0
"Acrocephalus_agricola","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.028220629,0,23.00603454,31,5.614464,0.982271233039568,6.962902826371,"PASSERIFORMES",8
"Acrocephalus_arundinaceus","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.005445603,0,23.52930118,31,3.678549,1.47712125471966,7.24828531579018,"PASSERIFORMES",9
"Acrocephalus_atyphus","LC","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.265364967,1105.932113,24.68254437,33,1.633647,1.24921321103378,2.78615433993199,"PASSERIFORMES",0
"Acrocephalus_australis","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",1.109268882,0,23.29140943,35,1.948618,1.24797326636181,6.58945962222847,"PASSERIFORMES",0
"Acrocephalus_baeticatus","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.004926086,0,19.90512397,32,4.105373,1.00860017176192,7.17739607339055,"PASSERIFORMES",5
"Acrocephalus_bistrigiceps","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.028932775,0,23.39986972,28,6.889989,0.939519252618618,6.50796830223013,"PASSERIFORMES",2
"Acrocephalus_brevipennis","EN","Not a Migrant","Diurnal","Carnivore","Artificial","Not colonial",0.731836251,556.374375,26.10044118,32,2.970217,1.20411998265592,3.12203889766689,"PASSERIFORMES",1
"Acrocephalus_caffer","EN","Not a Migrant","Diurnal","Carnivore","Forest","Not colonial",0.265364967,947.4787291,23.32298324,33,1.830693,1.2536825434878,2.42647841902739,"PASSERIFORMES",0
"Acrocephalus_concinens","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.029884387,0,18.42950905,29,5.226354,0.919078092376074,6.29420886561696,"PASSERIFORMES",0
"Acrocephalus_dumetorum","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.010414543,0,19.87025292,25,6.298932,1.04921802267018,7.03206023156713,"PASSERIFORMES",5
"Acrocephalus_familiaris","CR","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.691708279,371.7687054,25.16104074,32,2.352659,1.26245108973043,0.191444357046295,"PASSERIFORMES",0
"Acrocephalus_gracilirostris","LC","Not a Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.018238947,0,20.24691469,25,3.874522,1.15836249209525,6.68218182214235,"PASSERIFORMES",1
"Acrocephalus_griseldis","EN","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.059143349,0,21.53573143,28,7.309905,1.22271647114758,4.95753583422473,"PASSERIFORMES",1
"Acrocephalus_kerearako","NT","Not a Migrant","Diurnal","Carnivore","Aquatic","Not colonial",1.365431249,202.6363782,25.9248165806939,38.6668448645937,1.832676,1.35218251811136,1.84165822746276,"PASSERIFORMES",0
"Acrocephalus_melanopogon","LC","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.012105097,0,27.3294976,33.5,6.261162,1.03742649794062,6.32817121515749,"PASSERIFORMES",6
"Acrocephalus_mendanae","LC","Not a Migrant","Diurnal","Carnivore","Shrubland","Not colonial",0.265364967,2048.990521,28.58641222,36,1.635493,1.24557446959703,2.77339646363525,"PASSERIFORMES",0
"Acrocephalus_newtoni","LC","Not a Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.579956805,1058.841989,21.75359876,28,3.612666,1.23044892137827,5.77167594426545,"PASSERIFORMES",0
"Acrocephalus_orinus","NT","Full Migrant","Diurnal","Carnivore","Shrubland","Not colonial",-0.177555304,0,26.38915919,47,6.289748,1.10561456935121,4.35110694304657,"PASSERIFORMES",0
"Acrocephalus_paludicola","VU","Full Migrant","Diurnal","Carnivore","Aquatic","Not colonial",-0.003080357,0,27.53186053,32,6.821142,1.06445798922692,5.26138529003886,"PASSERIFORMES",9
