"scientific_name","TipLabel","English","Order","status","migration","gen_length","range","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","mean_mass","logMass","logRange","citations","source"
"Aplonis mystacea","Aplonis_mystacea","Yellow-eyed Starling","PASSERIFORMES","NT","Nomadic",4.1,140534.026623981,"Diurnal","Herbivore","Forest","Colonial",-0.336149462,363.9952509,32.24187899,34,2.759576,NA,NA,5.14778148997695,0,0
"Aplonis opaca","Aplonis_opaca","Micronesian Starling","PASSERIFORMES","LC","Not a Migrant",4.1,2018.98428168629,"Diurnal","Omnivore","Artificial/Terrestrial","Not colonial",0.22061772,0,29.85279739,30,2.826294,83.4,1.92116605063774,3.30513293786217,0,0
"Aplonis panayensis","Aplonis_panayensis","Asian Glossy Starling","PASSERIFORMES","LC","Not a Migrant",4.1,2145075.55708659,"Diurnal","Herbivore","Artificial/Terrestrial","Colonial",-0.079180349,0,34.73186312,56,3.073287,56.2,1.74973631556906,6.33144259416543,0,0
"Aplonis pelzelni","Aplonis_pelzelni","Pohnpei Starling","PASSERIFORMES","CR","Not a Migrant",4.1,61.4860421567687,"Diurnal","Herbivore","Forest","Not colonial",0.967861263,1510.7727,NA,NA,2.242072,NA,NA,1.78877653850251,0,0
"Aplonis santovestris","Aplonis_santovestris","Santo Starling","PASSERIFORMES","VU","Not a Migrant",4.1,59.6022273454966,"Diurnal","Omnivore","Forest","Not colonial",0.384089584,1830.39158,NA,NA,2.827436,NA,NA,1.77526248970305,0,0
"Aplonis striata","Aplonis_striata","Striated Starling","PASSERIFORMES","LC","Not a Migrant",4.1,18367.8597691745,"Diurnal","Herbivore","Artificial/Terrestrial","Not colonial",1.016704023,1426.318518,27.81237131,43,2.843645,54.2,1.73399928653839,4.26405855507621,0,0
"Aplonis tabuensis","Aplonis_tabuensis","Polynesian Starling","PASSERIFORMES","LC","Not a Migrant",4.1,23349.9899230656,"Diurnal","Herbivore","Artificial/Terrestrial","Not colonial",0.104928138,1007.149849,22.43121583,40.25,2.777192,62.5,1.79588001734408,4.36828669747781,1,1
"Aplonis zelandica","Aplonis_zelandica","Rusty-winged Starling","PASSERIFORMES","NT","Not a Migrant",4.1,9060.43124649001,"Diurnal","Herbivore","Forest","Not colonial",0.378729512,1726.592394,20.46199269,41.5,2.820655,NA,NA,3.95714886914632,0,0
"Aplopelia larvata","Aplopelia_larvata","Lemon Dove","COLUMBIFORMES","LC","Not a Migrant",5.8,2621930.04176687,"Diurnal","Omnivore","Artificial/Terrestrial","Not colonial",-0.032376427,0,19.92682498,39.583333335,11.306534,155,2.19033169817029,6.41862109968056,1,1
"Aprosmictus erythropterus","Aprosmictus_erythropterus","Red-winged Parrot","PSITTACIFORMES","LC","Nomadic",7.7,2742231.48926499,"Diurnal","Omnivore","Forest","Not colonial",0.354479761,0,35.6133451,82,6.28126,136,2.13353890837022,6.43810411357053,2,1
"Aprosmictus jonquillaceus","Aprosmictus_jonquillaceus","Olive-shouldered Parrot","PSITTACIFORMES","NT","Not a Migrant",7.7,28185.2243135125,"Diurnal","Omnivore","Forest","Not colonial",-0.401317829,598.668599,34.512928025,64,6.28126,119,2.07554696139253,4.45002149552424,0,0
"Aptenodytes forsteri","Aptenodytes_forsteri","Emperor Penguin","SPHENISCIFORMES","NT","Full Migrant",20.4,83054.5966863773,"Diurnal","Carnivore","Marine Oceanic","Colonial",0.859559145,757.1230937,29.95395651,45,17.239289,33850,4.52955867302116,4.91936367363611,13,12
"Aptenodytes patagonicus","Aptenodytes_patagonicus","King Penguin","SPHENISCIFORMES","LC","Full Migrant",14,24905.4087271717,"Diurnal","Carnivore","Marine Oceanic","Colonial",0.038801238,66.72300886,31.61642659,47,17.239289,11751,4.07007482626753,4.39629367341226,30,19
"Apteryx australis","Apteryx_australis","Southern Brown Kiwi","APTERYGIFORMES","VU","Not a Migrant",20,9856.72615573345,"Nocturnal","Carnivore","Forest","Not colonial",1.323162773,354.3301662,26.600173205,32,16.764242,2330,3.36735592102602,3.99373269094566,15,13
"Apteryx haastii","Apteryx_haastii","Great Spotted Kiwi","APTERYGIFORMES","VU","Not a Migrant",20,8560.80528803616,"Nocturnal","Carnivore","Forest","Not colonial",1.323162773,68.51944478,20.93062603,26,17.493948,2055,3.31281182621209,3.9325146193151,6,4
"Apteryx mantelli","Apteryx_mantelli","Northern Brown Kiwi","APTERYGIFORMES","EN","Not a Migrant",8.8,37689.6991512011,"Nocturnal","Carnivore","Forest","Not colonial",1.323162773,43.3529092,25.573475495,47,16.764242,NA,NA,4.57622267081403,7,3
"Apteryx owenii","Apteryx_owenii","Little Spotted Kiwi","APTERYGIFORMES","NT","Not a Migrant",9,35.1683268766941,"Nocturnal","Carnivore","Forest","Not colonial",1.323162773,4.333327673,NA,NA,17.493948,1243,3.09447112864164,1.54615170737001,4,3
"Apus acuticauda","Apus_acuticauda","Dark-rumped Swift","APODIFORMES","VU","Full Migrant",12.5,5618.98943937404,"Diurnal","Carnivore","Forest","Colonial",-0.276909315,71.08913617,21.61384751,24,7.000841,NA,NA,3.74965821585965,0,0
"Apus affinis","Apus_affinis","Little Swift","APODIFORMES","LC","Full Migrant",12.5,22140724.8922949,"Diurnal","Carnivore","Forest","Colonial",-0.015755911,0,17.89141027,25,5.065527,17.89999962,1.25285302176023,7.34519183567414,7,3
"Apus alexandri","Apus_alexandri","Alexander's Swift","APODIFORMES","LC","Not a Migrant",12.5,2642.81966924843,"Diurnal","Carnivore","Forest","Colonial",0.731836251,556.374375,17.48839053,25,6.980251,NA,NA,3.42206753039535,1,1
"Apus apus","Apus_apus","Common Swift","APODIFORMES","LC","Full Migrant",11.2,24779194.1048128,"Diurnal","Carnivore","Rocky areas (eg. inland cliffs, mountain peaks)","Colonial",-0.00572271,0,19.99229419,22,6.724703,37.6,1.57518784492766,7.39408717768475,8,5
"Apus balstoni","Apus_balstoni","Madagascar Swift","APODIFORMES","LC","Not a Migrant",12.5,592893.088419909,"Diurnal","Carnivore","Marine Coastal/Supratidal","Colonial",-0.192701349,607.4953164,23.31516955,21,7.027703,46.1,1.66370092538965,5.77297638763862,0,0
"Apus barbatus","Apus_barbatus","African Black Swift","APODIFORMES","LC","Full Migrant",12.5,1201154.66183564,"Diurnal","Carnivore","Forest","Colonial",-0.016064731,0,19.75225902,21,6.917837,42.8,1.63144376901317,6.07959893118079,2,2
"Apus batesi","Apus_batesi","Bates's Swift","APODIFORMES","LC","Not a Migrant",12.5,299256.623332433,"Diurnal","Carnivore","Forest","Not colonial",-0.060465512,46.89189648,23.27259428,17,7.004941,NA,NA,5.47604377125855,0,0
"Apus berliozi","Apus_berliozi","Forbes-Watson's Swift","APODIFORMES","LC","Full Migrant",12.5,204336.351215554,"Diurnal","Carnivore","Rocky areas (eg. inland cliffs, mountain peaks)","Colonial",-0.236069004,0,18.18349346,22,6.911629,38.2,1.58206336291171,5.31034563402347,0,0
"Apus bradfieldi","Apus_bradfieldi","Bradfield's Swift","APODIFORMES","LC","Not a Migrant",12.5,882339.908821011,"Diurnal","Carnivore","Rocky areas (eg. inland cliffs, mountain peaks)","Colonial",0.073751971,316.1913759,12.77328657,22,7.037481,42.4,1.62736585659273,5.9456359230993,1,1
"Apus caffer","Apus_caffer","White-rumped Swift","APODIFORMES","LC","Full Migrant",12.5,12441304.3450463,"Diurnal","Carnivore","Shrubland","Colonial",-0.018638678,0,22.17911374,25,6.922695,NA,NA,7.09486591412978,2,2
"Apus horus","Apus_horus","Horus Swift","APODIFORMES","LC","Not a Migrant",12.5,2043726.70286619,"Diurnal","Carnivore","Caves and Subterranean Habitats (non-aquatic)","Not colonial",-0.025093549,0,15.80826082,22.33333333,6.830788,NA,NA,6.31042281936249,0,0
"Apus niansae","Apus_niansae","Nyanza Swift","APODIFORMES","LC","Full Migrant",12.5,381058.023601867,"Diurnal","Carnivore","Artificial/Terrestrial","Colonial",-0.149898788,0,18.49349741,23,6.8952,32.5,1.51188336097887,5.58099111061385,2,2
"Apus nipalensis","Apus_nipalensis","House Swift","APODIFORMES","LC","Not a Migrant",12.5,5767481.8140758,"Diurnal","Carnivore","Artificial/Terrestrial","Colonial",-0.031963955,0,21.26693505,19,5.078034,NA,NA,6.76098623378542,0,0
"Apus pacificus","Apus_pacificus","Fork-tailed Swift","APODIFORMES","LC","Full Migrant",12.5,15854214.2780372,"Diurnal","Carnivore","Forest","Colonial",-0.004623929,0,19.23644631,20,7.292436,39.9,1.60097289568675,7.20014472361519,4,3
"Apus pallidus","Apus_pallidus","Pallid Swift","APODIFORMES","LC","Full Migrant",12.5,1716217.28196852,"Diurnal","Carnivore","Marine Coastal/Supratidal","Colonial",-0.015124584,0,18.87347629,23,6.856644,41.9,1.6222140229663,6.23457227091722,16,7
"Apus sladeniae","Apus_sladeniae","Fernando Po Swift","APODIFORMES","DD","Not a Migrant",12.5,12587.3198824489,"Diurnal","Carnivore","Forest","Not colonial",-0.320994683,148.986927,NA,NA,6.892613,NA,NA,4.0999332690935,0,0
"Apus toulsoni","Apus_toulsoni","Loanda Swift","APODIFORMES","LC","Not a Migrant",12.5,2043726.70286619,"Diurnal","Carnivore","Caves and Subterranean Habitats (non-aquatic)","Not colonial",-0.025093549,0,15.80826082,22.33333333,6.918572,NA,NA,6.31042281936249,0,0
"Apus unicolor","Apus_unicolor","Plain Swift","APODIFORMES","LC","Full Migrant",12.5,8283.54615867216,"Diurnal","Carnivore","Marine Coastal/Supratidal","Colonial",-0.023184739,0,20.39844678,24,6.931854,22.5,1.35218251811136,3.91821629662126,4,3
"Aquila adalberti","Aquila_adalberti","Spanish Imperial Eagle","ACCIPITRIFORMES","VU","Not a Migrant",16,131219.325307394,"Diurnal","Carnivore","Forest","Not colonial",0.130749624,0,27.24380911,31,4.583809,3000,3.47712125471966,5.1179978004078,33,14
"Aquila africanus","Aquila_africanus","Cassin's Hawk-eagle","ACCIPITRIFORMES","LC","Not a Migrant",18.5,1918234.47516866,"Diurnal","Carnivore","Forest","Not colonial",-0.077570592,0,26.53247044,34,8.177228,1047,3.01994668167884,6.28290169201503,6,4
"Aquila audax","Aquila_audax","Wedge-tailed Eagle","ACCIPITRIFORMES","LC","Not a Migrant",18.1,7679647.81329272,"Diurnal","Carnivore","Forest","Not colonial",0.554609257,0,22.77554199,33,5.542566,3466,3.5398285583779,6.88534130385303,30,9
"Aquila chrysaetos","Aquila_chrysaetos","Golden Eagle","ACCIPITRIFORMES","LC","Full Migrant",17.3,39447154.0289427,"Diurnal","Carnivore","Grassland","Not colonial",-0.00302844,0,19.65656703,29,8.236421,4263.5,3.62976626731932,7.5960156758823,241,20
"Aquila clanga","Aquila_clanga","Greater Spotted Eagle","ACCIPITRIFORMES","VU","Full Migrant",16.6,8980279.79379535,"Diurnal","Carnivore","Forest","Not colonial",-0.007699496,0,28.71278481,32,5.159784,2205.5,3.34350706211443,6.95328986796,48,13
"Aquila fasciatus","Aquila_fasciatus","Bonelli's Eagle","ACCIPITRIFORMES","LC","Not a Migrant",18,5701324.42703659,"Diurnal","Carnivore","Shrubland","Not colonial",-0.017340636,0,18.79909215,38.5,4.936066,2000,3.30102999566398,6.75597575471452,49,15
"Aquila gurneyi","Aquila_gurneyi","Gurney's Eagle","ACCIPITRIFORMES","NT","Not a Migrant",16.8,601804.872024907,"Diurnal","Carnivore","Forest","Not colonial",-0.494293344,0,21.70444199,28.5,5.542566,3060,3.48572142648158,5.77945569933123,0,0
"Aquila hastata","Aquila_hastata","Indian Spotted Eagle","ACCIPITRIFORMES","VU","Not a Migrant",16.8,2409264.95851169,"Diurnal","Carnivore","Forest","Not colonial",-0.181537067,0,19.32603675,35,5.903067,NA,NA,6.38188456408798,2,2
"Aquila heliaca","Aquila_heliaca","Eastern Imperial Eagle","ACCIPITRIFORMES","VU","Full Migrant",16.6,9554743.48547796,"Diurnal","Carnivore","Forest","Not colonial",-0.006018797,0,27.40606003,33.5,4.593048,3215,3.50718097726024,6.98021903211978,46,13
"Aquila nipalensis","Aquila_nipalensis","Steppe Eagle","ACCIPITRIFORMES","EN","Full Migrant",16.6,6934592.54291863,"Diurnal","Carnivore","Grassland","Not colonial",-0.008326073,0,20.75344087,29.33333333,5.877099,2745.5,3.4386214480454,6.84102094824122,28,9
"Aquila pomarina","Aquila_pomarina","Lesser Spotted Eagle","ACCIPITRIFORMES","LC","Full Migrant",16.6,2013351.59241167,"Diurnal","Carnivore","Forest","Not colonial",-0.008196144,0,18.44549769,30,5.159784,1370,3.13672056715641,6.30391962253442,58,14
