"scientific_name","TipLabel","English","Order","status","migration","gen_length","range","tp","tl","habitat1","colony","ps","min_dist","colour_elab","colour_div","ED_score","mean_mass","logMass","logRange","citations","source"
"Aquila rapax","Aquila_rapax","Tawny Eagle","ACCIPITRIFORMES","LC","Not a Migrant",16.6,17570851.2366961,"Diurnal","Carnivore","Savanna","Not colonial",-0.01688384,0,21.93238305,33.25,4.875081,2250,3.35218251811136,7.24479280181657,21,9
"Aquila verreauxii","Aquila_verreauxii","Verreaux's Eagle","ACCIPITRIFORMES","LC","Not a Migrant",17.3,4020849.6372632,"Diurnal","Carnivore","Rocky areas (eg. inland cliffs, mountain peaks)","Not colonial",-0.023789953,0,29.43157405,30,6.14514,4195,3.62273196516472,6.60431783263341,39,10
"Aquila wahlbergi","Aquila_wahlbergi","Wahlberg's Eagle","ACCIPITRIFORMES","LC","Full Migrant",17.5,9572120.58444292,"Diurnal","Carnivore","Shrubland","Not colonial",-0.013785308,0,22.44797571,29,8.877567,640,2.80617997398389,6.98100816098489,3,2
"Ara ambiguus","Ara_ambiguus","Great Green Macaw","PSITTACIFORMES","EN","Not a Migrant",15,108292.714206157,"Diurnal","Omnivore","Forest","Not colonial",-0.097981963,28.90667338,42.62344751,100,3.643137,1300,3.11394335230684,5.03459923883676,15,10
"Ara ararauna","Ara_ararauna","Blue-and-yellow Macaw","PSITTACIFORMES","LC","Not a Migrant",12.7,7780042.34703667,"Diurnal","Herbivore","Forest","Not colonial",-0.036588581,0,46.29591972,89,4.827792,1125,3.05115252244738,6.89098196087585,16,11
"Ara chloropterus","Ara_chloropterus","Red-and-green Macaw","PSITTACIFORMES","LC","Not a Migrant",12.7,8101177.51826151,"Diurnal","Herbivore","Forest","Not colonial",-0.038181528,3.823165003,46.43643961,112,3.724083,1214,3.08421868673924,6.90854814881888,24,14
"Ara glaucogularis","Ara_glaucogularis","Blue-throated Macaw","PSITTACIFORMES","CR","Not a Migrant",12,61505.5995157843,"Diurnal","Herbivore","Forest","Not colonial",-0.139247976,502.5857228,42.28427983,95,4.783215,784,2.89431606268444,4.7889146560698,2,2
"Ara macao","Ara_macao","Scarlet Macaw","PSITTACIFORMES","LC","Not a Migrant",12.7,6755460.22503978,"Diurnal","Herbivore","Forest","Not colonial",-0.028646703,0,48.22595039,124,3.727166,1015,3.00646604224923,6.82965494127615,58,21
"Ara militaris","Ara_militaris","Military Macaw","PSITTACIFORMES","VU","Altitudinal Migrant",12.7,281784.604770529,"Diurnal","Herbivore","Forest","Not colonial",-0.100760449,2.069366896,45.76833466,99,3.660253,1134,3.05461305455689,5.44991726185407,9,5
"Ara rubrogenys","Ara_rubrogenys","Red-fronted Macaw","PSITTACIFORMES","EN","Not a Migrant",12.7,10078.9332357884,"Diurnal","Herbivore","Shrubland","Not colonial",-0.069623988,761.6788614,35.29069619,94,3.660889,468,2.67024585307412,4.00341456838656,1,1
"Ara severus","Ara_severus","Chestnut-fronted Macaw","PSITTACIFORMES","LC","Not a Migrant",12.7,5824260.90566676,"Diurnal","Herbivore","Forest","Not colonial",-0.048627255,0,35.85370105,81,4.525323,343,2.53529412004277,6.7652408215511,11,7
"Arachnothera affinis","Arachnothera_affinis","Grey-breasted Spiderhunter","PASSERIFORMES","LC","Not a Migrant",4.2,349975.517510443,"Diurnal","Carnivore","Forest","Not colonial",-0.174956787,0,23.90077789,41,13.563873,26.4,1.42160392686983,5.54403766440167,0,0
